Name,State,Created,Runtime,Sweep,base_filters,batch_size,conv_activation,data_augmentation,dense_activation,dense_neurons,dropout_rate,epochs,filter_organization,image_size,learning_rate,use_batch_norm,validation_split,epoch,test_accuracy,train_accuracy,train_loss,val_accuracy,val_loss
bf_64_fo_doubling_dn_256_ca_gelu_da_gelu_v5,finished,2025-04-18T17:58:50.000Z,520,owlu7slq,64,32,gelu,FALSE,gelu,256,0.2,10,doubling,224,0.001,FALSE,0.2,10,0.1,0.093625,0,0.100050025,2.30253914
bf_32_fo_same_dn_256_ca_relu_da_leakyrelu_v5,finished,2025-04-18T17:50:42.000Z,482,owlu7slq,32,32,relu,FALSE,leakyrelu,256,0.3,10,same,224,0.001,FALSE,0.2,10,0.3405,0.571375,0,0.305152576,2.323476352
bf_32_fo_same_dn_128_ca_gelu_da_leakyrelu_v5,finished,2025-04-18T17:39:43.000Z,637,owlu7slq,32,32,gelu,TRUE,leakyrelu,128,0.5,10,same,224,0.001,FALSE,0.2,10,0.374,0.3525,0,0.364682341,1.796034043
bf_64_fo_same_dn_256_ca_silu_da_leakyrelu_v5,finished,2025-04-18T17:28:39.000Z,648,owlu7slq,64,32,silu,TRUE,leakyrelu,256,0.3,10,same,224,0.001,FALSE,0.2,10,0.388,0.39125,0,0.363681841,1.836367267
bf_32_fo_doubling_dn_256_ca_gelu_da_leakyrelu_v5,finished,2025-04-18T17:20:20.000Z,497,owlu7slq,32,32,gelu,FALSE,leakyrelu,256,0.5,10,doubling,224,0.001,TRUE,0.2,10,0.4105,0.62575,0,0.386693347,1.879280359
bf_64_fo_doubling_dn_512_ca_mish_da_leakyrelu_v5,finished,2025-04-18T17:11:04.000Z,551,owlu7slq,64,32,mish,FALSE,leakyrelu,512,0.3,10,doubling,224,0.001,TRUE,0.2,10,0.376,0.717875,0,0.35817909,2.161931653
bf_32_fo_doubling_dn_256_ca_relu_da_leakyrelu_v5,finished,2025-04-18T17:00:04.000Z,654,owlu7slq,32,32,relu,TRUE,leakyrelu,256,0.5,10,doubling,224,0.001,TRUE,0.2,10,0.4075,0.3955,0,0.393196598,1.737117733
bf_64_fo_doubling_dn_128_ca_gelu_da_leakyrelu_v5,finished,2025-04-18T16:51:14.000Z,524,owlu7slq,64,32,gelu,FALSE,leakyrelu,128,0.3,10,doubling,224,0.001,TRUE,0.2,10,0.4065,0.640625,0,0.395197599,1.855730214
bf_64_fo_doubling_dn_256_ca_gelu_da_leakyrelu_v5,finished,2025-04-18T16:42:35.000Z,515,owlu7slq,64,32,gelu,FALSE,leakyrelu,256,0.5,10,doubling,224,0.001,FALSE,0.2,10,0.2315,0.196375,0,0.224112056,2.1600276
bf_64_fo_doubling_dn_512_ca_relu_da_leakyrelu_v5,finished,2025-04-18T16:31:05.000Z,686,owlu7slq,64,32,relu,TRUE,leakyrelu,512,0.3,10,doubling,224,0.001,TRUE,0.2,10,0.382,0.4185,0,0.369184592,1.86325751
bf_32_fo_doubling_dn_128_ca_gelu_da_leakyrelu_v5,finished,2025-04-18T16:20:13.000Z,649,owlu7slq,32,32,gelu,TRUE,leakyrelu,128,0.5,10,doubling,224,0.001,FALSE,0.2,10,0.3105,0.256,0,0.304652326,1.968755285
bf_None_fo_same_dn_128_ca_relu_da_leakyrelu_v5,finished,2025-04-18T16:09:17.000Z,652,owlu7slq,,32,relu,TRUE,leakyrelu,128,0.5,10,same,224,0.0001,FALSE,0.2,10,0.359,0.338125,0,0.370185093,1.805522152
bf_None_fo_same_dn_256_ca_silu_da_relu_v5,finished,2025-04-18T15:58:13.000Z,660,owlu7slq,,32,silu,TRUE,relu,256,0.3,10,same,224,0.001,TRUE,0.2,10,0.366,0.410375,0,0.354677339,1.903177294
bf_None_fo_doubling_dn_256_ca_silu_da_leakyrelu_v5,finished,2025-04-18T15:49:46.000Z,503,owlu7slq,,32,silu,FALSE,leakyrelu,256,0.2,10,doubling,224,0.0001,TRUE,0.2,10,0.362,0.9995,0,0.343171586,2.135837064
bf_32_fo_same_dn_256_ca_gelu_da_gelu_v5,finished,2025-04-18T15:38:57.000Z,644,owlu7slq,32,32,gelu,TRUE,gelu,256,0.3,10,same,224,0.001,TRUE,0.2,10,0.381,0.42525,0,0.362181091,1.868335578
bf_32_fo_doubling_dn_128_ca_relu_da_leakyrelu_v5,finished,2025-04-18T15:27:59.000Z,656,owlu7slq,32,32,relu,TRUE,leakyrelu,128,0.2,10,doubling,224,0.001,FALSE,0.2,10,0.349,0.336,0,0.348674337,1.862126097
bf_64_fo_doubling_dn_256_ca_relu_da_leakyrelu_v5,finished,2025-04-18T15:16:11.000Z,692,owlu7slq,64,32,relu,TRUE,leakyrelu,256,0.3,10,doubling,224,0.001,TRUE,0.2,10,0.403,0.41825,0,0.385692846,1.792466319
bf_32_fo_same_dn_128_ca_gelu_da_leakyrelu_v5,finished,2025-04-18T15:05:22.000Z,646,owlu7slq,32,32,gelu,TRUE,leakyrelu,128,0.3,10,same,224,0.001,TRUE,0.2,10,0.4115,0.40025,0,0.4012006,1.702082789
bf_64_fo_same_dn_256_ca_gelu_da_leakyrelu_v5,finished,2025-04-18T14:54:18.000Z,657,owlu7slq,64,32,gelu,TRUE,leakyrelu,256,0.3,10,same,224,0.001,FALSE,0.2,10,0.385,0.383375,0,0.368184092,1.77139476
bf_64_fo_same_dn_512_ca_gelu_da_gelu_v5,finished,2025-04-18T14:45:43.000Z,500,owlu7slq,64,32,gelu,FALSE,gelu,512,0.3,10,same,224,0.001,FALSE,0.2,10,0.3705,0.91475,0,0.35917959,2.894505181
bf_None_fo_doubling_dn_512_ca_relu_da_silu_v5,finished,2025-04-18T14:37:10.000Z,510,owlu7slq,,32,relu,FALSE,silu,512,0.3,10,doubling,224,0.0001,TRUE,0.2,10,0.356,0.999375,0,0.36118059,2.167427407
